,Latitude,Longitude,MedInc
14196,32.71,-117.03,3.2596
8267,33.77,-118.16,3.8125
17445,34.66,-120.48,4.1563
14265,32.69,-117.11,1.9425
2271,36.78,-119.8,3.5542
17848,37.42,-121.86,6.6227
6252,34.04,-117.97,2.5192
9389,37.91,-122.53,7.9892
6113,34.13,-117.9,1.5
6061,34.02,-117.79,6.4266
16030,37.72,-122.45,4.2167
8364,33.97,-118.35,2.2303
9448,37.46,-119.72,2.875
17529,37.33,-121.88,2.0972
5865,34.18,-118.34,2.8125
7615,33.89,-118.23,3.1667
9707,36.67,-121.65,2.8924
16332,38.03,-121.34,4.4063
3449,34.32,-118.43,4.2330000000000005
5199,33.93,-118.28,1.4329
13496,34.16,-117.34,2.1935
18056,37.24,-121.98,8.5425
9529,38.94,-123.15,2.7171
5128,33.98,-118.28,1.575
18796,40.89,-122.31,2.2583
413,37.89,-122.28,5.4171
1175,39.48,-121.57,0.8252
4387,34.08,-118.26,3.5039
11628,33.8,-118.07,3.8792
9787,36.06,-120.79,2.4881
15557,33.12,-117.07,2.7216
9132,34.55,-118.01,4.071000000000001
5514,33.99,-118.4,2.825
6504,34.08,-118.06,2.5119
15028,32.79,-117.01,3.4421
7816,33.88,-118.11,3.5893
18758,40.66,-122.36,2.0119
7369,33.97,-118.21,3.1901
7898,33.86,-118.06,5.0778
10823,33.65,-117.92,0.9702
5252,34.1,-118.47,11.1978
6442,34.1,-118.03,3.94
11934,33.93,-117.41,4.0156
5549,33.97,-118.38,6.019
11568,33.76,-118.02,3.6289
15167,32.95,-117.05,3.2369
12536,38.55,-121.51,2.8417
7779,33.91,-118.07,3.1957
10711,33.6,-117.7,3.1131
6624,34.17,-118.14,4.0524
4420,34.07,-118.26,2.4038
1413,37.94,-122.07,4.475
1130,39.76,-121.65,3.0
15026,32.77,-117.01,2.6678
4707,34.06,-118.35,3.2411
10537,33.5,-117.7,8.7591
1621,37.82,-122.08,11.3421
7592,33.9,-118.24,1.2083
4731,34.04,-118.36,2.7917
14435,32.8,-117.24,2.9258
