,Latitude,Longitude,MedInc,cluster
0,37.88,-122.23,8.3252,2
1,37.86,-122.22,8.3014,2
2,37.85,-122.24,7.2574,2
3,37.85,-122.25,5.6431,2
4,37.85,-122.25,3.8462,1
5,37.85,-122.25,4.0368,1
6,37.84,-122.25,3.6591,1
7,37.84,-122.25,3.12,1
8,37.84,-122.26,2.0804,1
9,37.84,-122.25,3.6912,1
10,37.85,-122.26,3.2031,1
11,37.85,-122.26,3.2705,1
12,37.85,-122.26,3.075,1
13,37.84,-122.26,2.6736,1
14,37.85,-122.26,1.9167,1
15,37.85,-122.26,2.125,1
16,37.85,-122.27,2.775,1
17,37.85,-122.27,2.1202,1
18,37.84,-122.26,1.9911,1
19,37.84,-122.27,2.6033,1
20,37.85,-122.27,1.3578,1
21,37.85,-122.27,1.7135,1
22,37.84,-122.27,1.725,1
23,37.84,-122.27,2.1806,1
24,37.84,-122.27,2.6,1
25,37.85,-122.28,2.4038,1
26,37.85,-122.28,2.4597,1
27,37.85,-122.28,1.808,1
28,37.84,-122.28,1.6424,1
29,37.84,-122.28,1.6875,1
30,37.84,-122.28,1.9274,1
31,37.84,-122.28,1.9615,1
32,37.84,-122.27,1.7969,1
33,37.83,-122.27,1.375,1
34,37.83,-122.27,2.7303,1
35,37.83,-122.27,1.4861,1
36,37.83,-122.27,1.0972,1
37,37.83,-122.28,1.4103,1
38,37.83,-122.26,3.48,1
39,37.83,-122.26,2.5898,1
40,37.83,-122.26,2.0978,1
41,37.83,-122.26,1.2852,1
42,37.84,-122.26,1.025,1
43,37.84,-122.26,3.9643,1
44,37.83,-122.26,3.0125,1
45,37.83,-122.26,2.6768,1
46,37.83,-122.26,2.026,1
47,37.82,-122.27,1.7348,1
48,37.82,-122.26,0.9506,1
49,37.82,-122.27,1.775,1
50,37.82,-122.27,0.9218,1
51,37.82,-122.27,1.5045,1
52,37.82,-122.27,1.1108,1
53,37.82,-122.27,1.2475,1
54,37.82,-122.28,1.6098,1
55,37.82,-122.28,1.4113,1
56,37.82,-122.28,1.5057,1
57,37.82,-122.28,0.8172,1
58,37.82,-122.28,1.2171,1
59,37.82,-122.29,2.5625,1
60,37.83,-122.29,3.3929,1
61,37.82,-122.29,6.1183,2
62,37.81,-122.29,0.9011,1
63,37.81,-122.3,1.1909999999999998,1
64,37.81,-122.3,2.5938,1
65,37.81,-122.3,1.1667,1
66,37.81,-122.3,0.8056,1
67,37.8,-122.29,2.6094,1
68,37.81,-122.3,1.8516,1
69,37.81,-122.29,0.9802,1
70,37.81,-122.29,1.7719,1
71,37.81,-122.29,0.7286,1
72,37.81,-122.29,1.75,1
73,37.81,-122.29,0.4999,1
74,37.81,-122.29,2.483,1
75,37.81,-122.28,0.9241,1
76,37.81,-122.28,2.4464,1
77,37.81,-122.28,1.1111,1
