,Latitude,Longitude,MedInc,cluster
14196,32.71,-117.03,3.2596,3
8267,33.77,-118.16,3.8125,1
17445,34.66,-120.48,4.1563,1
14265,32.69,-117.11,1.9425,3
2271,36.78,-119.8,3.5542,5
17848,37.42,-121.86,6.6227,0
6252,34.04,-117.97,2.5192,3
9389,37.91,-122.53,7.9892,0
6113,34.13,-117.9,1.5,3
6061,34.02,-117.79,6.4266,2
16030,37.72,-122.45,4.2167,0
8364,33.97,-118.35,2.2303,3
9448,37.46,-119.72,2.875,5
17529,37.33,-121.88,2.0972,5
5865,34.18,-118.34,2.8125,3
7615,33.89,-118.23,3.1667,3
9707,36.67,-121.65,2.8924,5
16332,38.03,-121.34,4.4063,0
3449,34.32,-118.43,4.2330000000000005,1
5199,33.93,-118.28,1.4329,3
13496,34.16,-117.34,2.1935,3
18056,37.24,-121.98,8.5425,0
9529,38.94,-123.15,2.7171,5
5128,33.98,-118.28,1.575,3
18796,40.89,-122.31,2.2583,5
413,37.89,-122.28,5.4171,0
1175,39.48,-121.57,0.8252,5
4387,34.08,-118.26,3.5039,1
11628,33.8,-118.07,3.8792,1
9787,36.06,-120.79,2.4881,5
15557,33.12,-117.07,2.7216,3
9132,34.55,-118.01,4.071000000000001,1
5514,33.99,-118.4,2.825,3
6504,34.08,-118.06,2.5119,3
15028,32.79,-117.01,3.4421,1
7816,33.88,-118.11,3.5893,1
18758,40.66,-122.36,2.0119,5
7369,33.97,-118.21,3.1901,3
7898,33.86,-118.06,5.0778,1
10823,33.65,-117.92,0.9702,3
5252,34.1,-118.47,11.1978,4
6442,34.1,-118.03,3.94,1
11934,33.93,-117.41,4.0156,1
5549,33.97,-118.38,6.019,2
11568,33.76,-118.02,3.6289,1
15167,32.95,-117.05,3.2369,3
12536,38.55,-121.51,2.8417,5
7779,33.91,-118.07,3.1957,3
10711,33.6,-117.7,3.1131,3
6624,34.17,-118.14,4.0524,1
4420,34.07,-118.26,2.4038,3
1413,37.94,-122.07,4.475,0
1130,39.76,-121.65,3.0,5
15026,32.77,-117.01,2.6678,3
4707,34.06,-118.35,3.2411,3
10537,33.5,-117.7,8.7591,2
1621,37.82,-122.08,11.3421,4
7592,33.9,-118.24,1.2083,3
4731,34.04,-118.36,2.7917,3
14435,32.8,-117.24,2.9258,3
14301,32.72,-117.14,2.0529,3
6626,34.18,-118.14,3.3068,3
3298,38.96,-122.63,1.75,5
19807,36.66,-118.96,3.1964,3
16993,37.56,-122.27,5.6936,0
5736,34.15,-118.23,5.3369,1
10855,33.68,-117.89,3.3409,3
5020,33.99,-118.32,1.9779,3
8239,33.77,-118.18,1.1483,3
11982,33.98,-117.47,4.9886,1
17189,37.32,-122.27,5.3951,0
8126,33.81,-118.18,1.75,3
14128,32.75,-117.09,1.2286,3
17777,37.38,-121.85,5.2415,0
12914,38.61,-121.32,2.774,5
16257,37.97,-121.25,1.7895,5
11135,33.84,-117.93,3.2301,3
13987,34.88,-117.13,2.3373,3
7711,33.95,-118.14,3.6635,1
18591,36.97,-122.13,4.7188,0
6529,34.06,-118.06,2.5763,3
483,37.86,-122.27,2.6914,5
3846,34.19,-118.47,5.0929,1
12826,38.71,-121.44,3.5129,5
1315,37.99,-121.79,5.7321,0
7222,34.02,-118.17,2.45,3
14016,32.75,-117.16,2.9705,3
4226,34.1,-118.29,2.9417,3
9279,38.11,-122.6,5.3962,0
1576,37.81,-121.99,4.9018,0
11301,33.78,-117.91,3.045,3
16519,37.8,-121.21,1.4853,5
16394,38.03,-121.25,6.6605,0
5290,34.05,-118.49,7.0285,2
10353,33.63,-117.67,4.4063,1
11471,33.67,-118.0,4.8125,1
11886,33.99,-117.37,1.685,3
1989,36.73,-119.79,1.975,5
16457,38.13,-121.29,5.0,0
8063,33.83,-118.19,6.4468,2
17321,34.61,-120.16,3.0185,3
9547,37.4,-120.84,2.6214,5
14628,32.76,-117.18,2.6493,3
15518,33.14,-117.08,3.5462,1
121,37.85,-122.24,4.9643,0
2609,40.89,-124.01,2.4559,5
19782,40.77,-122.96,3.2891,5
7626,33.86,-118.27,3.7466,1
9798,36.55,-121.91,5.7248,0
953,37.71,-121.96,7.2494,0
4462,34.1,-118.18,4.9231,1
10989,33.73,-117.81,3.5719,1
8292,33.77,-118.15,3.5292,1
17093,37.48,-122.23,2.7969,5
19034,38.37,-121.98,2.8438,5
1270,37.96,-121.7,3.2813,5
12189,33.67,-117.33,1.9194,3
1691,38.01,-122.24,6.0102,0
17910,37.36,-121.98,4.5625,0
12645,38.52,-121.47,1.2575,5
10752,33.61,-117.89,5.0,1
11009,33.79,-117.76,8.2653,2
15877,37.75,-122.41,4.2891,0
7163,34.04,-118.17,3.5938,1
2974,35.33,-119.1,6.759,2
13153,36.88,-121.6,4.7813,0
19947,36.21,-119.35,1.6378,3
4755,34.04,-118.33,3.6373,1
11231,33.82,-117.95,4.3269,1
17130,37.47,-122.15,3.0521,5
1208,39.48,-121.79,3.3929,5
17395,34.96,-120.44,2.9167,3
5518,33.97,-118.39,6.235,2
15742,37.78,-122.42,2.1516,5
14494,32.85,-117.2,4.7891,1
11090,33.82,-117.89,5.0605,1
1090,39.72,-121.82,1.5064,5
3120,35.54,-117.84,5.0762,1
11200,33.83,-117.91,1.119,3
5359,34.05,-118.39,4.0153,1
14848,32.68,-117.08,1.324,3
1533,37.9,-122.05,4.6528,0
13688,34.15,-117.2,7.732,2
1411,37.93,-122.08,5.0761,0
12845,38.68,-121.38,4.0673,5
2614,40.95,-124.16,3.1406,5
2636,40.59,-124.15,2.0938,5
5437,34.01,-118.43,6.4232,2
6091,34.1,-117.84,3.8465,1
2664,40.05,-123.78,2.1864,5
9630,37.26,-121.0,1.7062,5
10753,33.61,-117.89,5.1923,1
10223,33.88,-117.89,5.7519,2
14989,32.73,-117.02,4.7952,1
11427,33.69,-117.99,3.7479,1
14545,32.95,-117.26,5.8343,2
20505,34.29,-118.72,6.0368,2
17120,37.47,-122.14,3.7917,5
13111,38.39,-121.37,6.2575,0
8819,34.09,-118.34,2.4432,3
4999,33.99,-118.28,2.5848,3
15262,33.03,-117.27,4.87,1
13942,34.28,-117.17,7.1997,2
5018,34.0,-118.33,0.9304,3
1767,37.95,-122.34,2.875,5
13155,36.86,-121.45,3.1375,5
8608,33.87,-118.37,3.5048,1
5227,33.93,-118.25,1.1346,3
15382,33.39,-117.14,3.8547,1
16972,37.56,-122.31,4.2955,0
7536,33.92,-118.22,2.1366,3
17122,37.47,-122.13,5.0893,0
5195,33.92,-118.27,1.7262,3
19179,38.43,-122.68,6.0774,0
5183,33.94,-118.26,1.65,3
20564,38.72,-121.71,2.8882,5
13242,34.12,-117.66,8.8204,2
18562,37.0,-122.04,2.9712,5
4449,34.07,-118.21,2.3859,3
1002,37.69,-121.78,3.3618,5
9233,37.02,-120.06,3.5258,5
15079,32.81,-116.97,2.1422,3
15402,33.22,-117.22,1.9571,3
17056,37.48,-122.25,7.1621,0
5129,33.98,-118.27,1.3042,3
18265,37.37,-122.07,4.8021,0
15692,37.79,-122.44,8.0755,0
19325,38.53,-122.94,3.7143,5
6039,34.07,-117.73,2.2596,3
17517,37.33,-121.94,4.3,0
2146,36.77,-119.77,2.0564,5
10863,33.71,-117.88,4.1,1
2662,40.12,-123.82,2.087,5
9409,37.89,-122.53,5.9073,0
18076,37.28,-122.03,9.8937,4
3194,36.32,-119.7,2.6477,5
12340,33.85,-116.53,2.9647,3
2953,35.35,-119.02,1.983,3
16056,37.76,-122.49,3.5302,5
13077,38.58,-121.3,2.8966,5
4245,34.13,-118.32,4.0833,1
2310,36.91,-119.77,5.3272,0
9278,38.11,-122.6,3.8068,5
8229,33.77,-118.2,1.2864,3
11226,33.81,-117.94,4.5714,1
15589,32.97,-116.67,5.359,1
3795,34.16,-118.36,2.4835,3
11570,33.77,-118.01,5.8362,2
1280,38.01,-121.8,2.2532,5
7920,33.86,-118.07,3.425,1
11251,33.82,-117.99,2.8625,3
12461,38.58,-121.43,3.9167,5
7801,33.9,-118.09,3.1441,3
16665,35.28,-120.7,4.6071,0
4903,34.01,-118.25,1.4464,3
8439,33.93,-118.36,3.0132,3
5022,33.99,-118.33,3.2083,3
8161,33.82,-118.13,5.1795,1
222,37.8,-122.2,4.9559,0
3545,34.24,-118.63,4.8333,1
9498,39.17,-123.73,2.375,5
2442,36.57,-119.61,1.5833,5
14297,32.72,-117.14,2.2804,3
15376,33.37,-117.25,1.995,3
1972,38.75,-120.54,3.9812,5
1570,37.84,-122.02,7.7072,0
2281,36.79,-119.79,1.5122,5
15713,37.78,-122.44,2.8569,5
2021,36.7,-119.81,1.2404,5
18835,41.74,-122.64,3.3095,5
7760,33.91,-118.14,3.0465,3
17444,34.52,-120.39,2.5667,3
19266,38.44,-122.72,0.9437,5
2556,40.75,-124.17,4.8516,0
10347,33.61,-117.66,7.1497,2
9989,39.15,-121.07,2.4726,5
3344,38.7,-122.52,0.536,5
902,37.53,-121.98,4.6,0
8143,33.83,-118.11,4.918,1
181,37.8,-122.23,1.9375,5
10265,33.9,-117.85,5.2037,1
9367,37.94,-122.53,4.7344,0
1853,41.77,-124.21,2.5795,5
4788,34.02,-118.32,2.0304,3
7068,33.95,-118.02,4.6184,1
19977,35.82,-118.7,2.3937,3
14383,32.74,-117.24,4.0268,1
5553,33.95,-118.37,3.111,3
1458,37.97,-121.98,5.9617,0
18670,36.98,-121.88,4.8953,0
15150,32.92,-116.84,3.1607,3
6209,34.07,-117.89,3.9808,1
19571,37.59,-120.94,2.3152,5
1926,38.9,-120.3,0.9227,5
5846,34.17,-118.3,3.0687,3
7726,33.92,-118.12,2.5893,3
18833,41.69,-122.56,2.4107,5
3656,34.22,-118.4,3.6442,1
15805,37.76,-122.45,5.6235,0
11798,38.92,-121.22,4.4958,0
7472,33.93,-118.21,1.9668,3
15471,33.15,-117.2,3.0139,3
12825,38.72,-121.47,4.0227,5
18825,41.86,-122.33,2.234,5
5784,34.15,-118.25,3.6875,1
16411,37.93,-121.22,4.75,0
11264,33.8,-117.98,5.4876,1
12786,38.63,-121.44,1.3462,5
4436,34.08,-118.21,1.9495,3
8455,33.91,-118.35,4.3187,1
15194,32.99,-117.01,8.4284,2
7336,33.98,-118.15,2.3,3
8196,33.79,-118.13,3.7716,1
17274,34.41,-119.7,2.8042,3
3999,34.17,-118.62,6.8482,2
8147,33.83,-118.1,5.3735,1
8542,33.88,-118.36,2.65,3
6508,34.07,-118.07,3.125,3
2086,36.76,-119.79,1.175,5
19953,36.22,-119.33,3.5039,3
19744,40.2,-122.38,2.8447,5
6501,34.08,-118.05,2.0433,3
2589,40.88,-124.1,2.0657,5
16797,37.66,-122.44,3.1927,5
18980,38.25,-122.0,4.9222,0
18858,41.5,-121.76,1.0667,5
16981,37.56,-122.29,5.3683,0
4528,34.04,-118.22,1.4189,3
4254,34.1,-118.35,2.6458,3
19083,38.32,-122.48,3.1129,5
20295,34.16,-119.19,3.9722,1
12387,33.72,-116.37,3.0021,3
8615,33.87,-118.38,5.7415,2
4229,34.11,-118.29,12.9591,4
20278,34.19,-119.2,5.0016,1
884,37.54,-121.97,4.6349,0
1039,38.42,-120.97,4.3029,0
15236,32.95,-117.26,5.6582,2
5135,33.97,-118.26,1.55,3
12397,33.68,-116.3,2.8882,3
2445,36.56,-119.64,2.0658,5
5921,34.15,-117.71,7.9068,2
18262,37.37,-122.09,6.8374,0
17497,34.43,-119.8,5.6604,2
16785,37.67,-122.45,4.4286,0
18619,37.01,-122.02,10.0968,4
13595,34.09,-117.29,1.1806,3
2095,36.75,-119.76,2.19,5
3857,34.17,-118.43,4.4464,1
19312,38.44,-122.86,3.4471,5
14511,32.91,-117.15,4.9464,1
3477,34.3,-118.51,7.5078,2
1010,37.68,-121.73,5.4496,0
10982,33.75,-117.83,4.9957,1
14718,32.79,-117.06,9.6023,2
18167,37.35,-122.03,3.5154,5
6075,34.08,-117.87,5.6015,1
11214,33.82,-117.91,3.7014,1
7414,33.95,-118.23,2.2391,3
934,37.53,-122.04,3.9667,0
10175,33.86,-117.97,3.6006,1
11274,33.78,-117.99,3.1049,3
18929,38.05,-122.14,3.2891,5
1343,38.01,-121.89,4.0972,0
12457,33.63,-114.58,3.3438,1
359,37.76,-122.14,5.5701,0
6165,34.07,-117.95,4.1172,1
19261,38.44,-122.74,2.6576,5
959,37.7,-121.93,4.4087,0
19867,36.34,-119.34,4.0144,1
1148,39.52,-121.36,2.3917,5
2954,35.35,-119.01,1.9125,3
2051,36.71,-119.72,3.0179,5
18324,37.44,-122.13,5.9277,0
2054,36.69,-119.69,2.1563,5
9006,34.11,-118.59,6.4504,2
7284,33.98,-118.24,2.125,3
5537,33.96,-118.43,8.7819,2
14371,32.71,-117.24,6.6661,2
19462,37.68,-120.99,2.6932,5
15052,32.8,-116.86,4.875,1
15218,32.96,-117.12,6.0175,2
8892,34.02,-118.5,2.9934,3
14550,32.94,-117.24,5.2648,1
19000,38.35,-121.94,4.412,0
7302,33.99,-118.19,3.3869,3
11369,33.71,-117.98,4.4766,1
17818,37.4,-121.9,3.7622,5
16144,37.78,-122.47,4.0652,0
18606,37.15,-122.13,3.9423,0
10873,33.73,-117.9,3.2639,3
15705,37.79,-122.42,2.6607,5
3608,34.23,-118.46,3.0187,3
11175,33.82,-117.97,3.7655,1
5446,34.0,-118.44,4.1083,1
4894,34.02,-118.24,1.8485,3
20477,34.28,-118.74,5.9024,2
7696,33.95,-118.12,5.752000000000001,2
17951,37.34,-121.96,3.4375,5
8999,34.0,-118.33,4.2917,1
7510,33.89,-118.27,4.4659,1
6586,34.22,-118.22,7.0059,2
17238,34.44,-119.67,5.2888,1
5474,33.99,-118.46,4.0598,1
8451,33.91,-118.35,4.0775,1
19475,37.67,-120.96,2.9219,5
2394,37.09,-119.4,3.3269,5
9653,36.99,-120.7,2.9271,5
8730,33.84,-118.31,3.625,1
6874,34.07,-118.1,2.5964,3
13581,34.12,-117.28,1.3571,3
13753,34.05,-117.17,4.2059,1
20241,34.27,-119.24,3.2792,3
6733,34.12,-118.09,7.8347,2
5163,33.96,-118.29,1.5294,3
7409,33.96,-118.22,2.8,3
13662,34.03,-117.32,3.9024,1
9317,37.99,-122.49,6.994,0
3537,34.26,-118.52,3.7816,1
14354,32.75,-117.23,3.1389,3
14239,32.7,-117.09,1.4583,3
2746,32.78,-115.57,4.0375,1
102,37.81,-122.25,3.125,5
15792,37.77,-122.42,1.375,5
1661,37.93,-121.94,7.5695,0
7528,33.91,-118.23,2.1734,3
9375,37.92,-122.5,6.1632,0
13896,34.15,-116.33,1.5489,3
15189,33.03,-117.05,4.3571,1
12783,38.64,-121.44,1.0398,5
9626,37.23,-120.25,2.1845,5
7596,33.89,-118.25,2.4537,3
1694,38.0,-122.26,5.2375,0
14666,32.8,-117.13,3.9732,1
10202,33.87,-117.92,2.1991,3
17235,34.47,-119.67,4.9757,1
518,37.82,-122.24,6.155,0
9977,38.54,-122.48,4.2096,0
7289,33.98,-118.22,2.5352,3
12343,33.85,-116.52,3.4886,1
14070,32.76,-117.12,2.3594,3
2358,36.79,-119.63,4.526,0
17677,37.33,-121.85,2.8024,5
937,37.54,-122.03,4.8214,0
12407,33.72,-116.29,3.1771,3
13911,34.21,-116.22,2.2083,3
7603,33.88,-118.24,2.4821,3
18459,37.27,-121.8,6.223,0
2134,36.8,-119.71,3.0,5
9495,39.34,-123.81,3.1563,5
8124,33.79,-118.17,1.55,3
14480,32.82,-117.25,7.8013,2
9561,37.36,-120.63,4.0694,5
10317,33.84,-117.82,10.1299,2
3119,35.73,-117.87,4.1518,1
14654,32.8,-117.14,3.9417,1
20074,38.13,-120.26,4.0583,5
1210,38.12,-120.55,2.5,5
8332,33.93,-118.3,3.2024,3
1085,39.73,-121.83,2.0064,5
19596,37.6,-120.92,3.7611,5
9579,37.37,-120.5,2.4012,5
5995,34.09,-117.73,2.4375,3
9827,36.62,-121.92,2.5263,5
20243,34.26,-119.25,2.67,3
11548,33.73,-118.02,5.5599,1
16250,37.97,-121.27,1.1141,5
11029,33.79,-117.83,2.9312,3
7665,33.93,-118.07,4.125,1
3379,34.25,-118.27,5.0234,1
1318,37.99,-121.77,5.4409,0
1769,37.95,-122.34,3.2833,5
12214,33.49,-117.12,3.9963,1
14326,32.71,-117.16,1.0918,3
6867,34.06,-118.12,3.1892,3
18040,37.23,-121.97,4.6065,0
3562,34.25,-118.58,5.521,1
130,37.84,-122.21,7.0548,0
14474,32.85,-117.23,6.3955,2
14335,32.73,-117.17,1.815,3
17705,37.31,-121.81,3.1382,5
14760,32.56,-117.06,1.7301,3
13355,34.02,-117.6,5.2849,1
14074,32.76,-117.12,2.0673,3
1825,37.93,-122.32,2.675,5
12439,33.67,-116.18,2.2141,3
17352,34.89,-120.42,5.0099,1
4991,33.99,-118.31,2.0915,3
7542,33.9,-118.21,2.0817,3
5023,33.99,-118.34,4.8125,1
18572,36.91,-121.75,1.6875,5
4706,34.06,-118.34,3.7167,1
9138,34.52,-118.22,6.5538,2
6292,34.0,-117.88,3.6308,1
2216,36.83,-119.84,6.8645,0
2995,35.32,-119.05,3.4827,3
16139,37.78,-122.46,3.4605,5
5748,34.16,-118.27,2.9148,3
10368,33.64,-117.66,6.7079,2
15076,32.81,-116.99,4.2386,1
18204,37.38,-122.05,4.072,0
9619,37.35,-120.43,5.9378,0
5960,34.11,-117.83,4.9844,1
6132,34.07,-117.98,2.9107,3
3940,34.21,-118.59,5.0462,1
18465,37.16,-121.72,4.7386,0
17986,37.3,-121.96,4.3081,0
19501,37.66,-121.03,2.1528,5
14630,32.77,-117.18,3.4,1
8839,34.08,-118.39,3.5114,1
3223,36.32,-119.68,2.5833,5
7535,33.92,-118.23,1.6437,3
7591,33.9,-118.24,2.375,3
14918,32.61,-117.03,5.1538,1
449,37.87,-122.28,2.8676,5
2264,36.78,-119.81,3.0,5
16949,37.53,-122.33,6.7042,0
13218,34.0,-117.68,5.7338,2
7327,33.97,-118.17,2.4049,3
8153,33.81,-118.11,3.9722,1
11262,33.79,-117.99,3.1801,3
9113,34.56,-118.21,4.7097,1
535,37.78,-122.27,5.2601,0
7827,33.91,-118.14,3.0703,3
9593,37.33,-120.46,6.3215,0
1836,37.9,-122.3,3.4091,5
5407,34.03,-118.45,3.3482,3
8440,33.91,-118.36,3.8,1
8726,33.83,-118.37,4.7308,1
12931,38.64,-121.24,5.259,0
15427,33.21,-117.25,2.066,3
1890,38.93,-120.01,2.9960000000000004,5
16474,38.14,-121.25,2.3,5
6734,34.12,-118.1,6.3013,2
1688,37.98,-122.27,6.0289,0
7476,33.93,-118.2,2.5185,3
9842,36.6,-121.9,2.8727,5
4614,34.08,-118.29,1.925,3
12833,38.69,-121.41,3.6429,5
14158,32.76,-117.08,3.0833,3
2449,36.52,-119.54,4.2045,0
19379,37.77,-120.87,3.5959,5
